year,NAME,GEO_ID,S1901_C01_012E,income_source
2024,"Calaveras County, California",0500000US06009,78647,5yr
2024,"Colusa County, California",0500000US06011,75672,5yr
2024,"Del Norte County, California",0500000US06015,67058,5yr
2024,"Glenn County, California",0500000US06021,67139,5yr
2024,"Inyo County, California",0500000US06027,73991,5yr
2023,"Tuolumne County, California",0500000US06109,72259,5yr
2024,"Lassen County, California",0500000US06035,67403,5yr
2024,"Modoc County, California",0500000US06049,59455,5yr
2024,"Mono County, California",0500000US06051,99415,5yr
2024,"Plumas County, California",0500000US06063,66031,5yr
2024,"Sierra County, California",0500000US06091,63355,5yr
2024,"Siskiyou County, California",0500000US06093,59095,5yr
2020,"Modoc County, California",0500000US06049,51250,5yr
2024,"Mariposa County, California",0500000US06043,68412,5yr
2023,"Trinity County, California",0500000US06105,53498,5yr
2023,"Siskiyou County, California",0500000US06093,55499,5yr
2022,"Siskiyou County, California",0500000US06093,53898,5yr
2022,"Trinity County, California",0500000US06105,47317,5yr
2022,"Tuolumne County, California",0500000US06109,70432,5yr
2023,"Alpine County, California",0500000US06003,110781,5yr
2023,"Amador County, California",0500000US06005,81526,5yr
2023,"Calaveras County, California",0500000US06009,79877,5yr
2023,"Colusa County, California",0500000US06011,75149,5yr
2023,"Del Norte County, California",0500000US06015,66780,5yr
2023,"Glenn County, California",0500000US06021,70487,5yr
2023,"Inyo County, California",0500000US06027,72432,5yr
2023,"Lassen County, California",0500000US06035,64395,5yr
2023,"Mariposa County, California",0500000US06043,65378,5yr
2023,"Modoc County, California",0500000US06049,56648,5yr
2023,"Mono County, California",0500000US06051,86953,5yr
2023,"Plumas County, California",0500000US06063,64946,5yr
2023,"Sierra County, California",0500000US06091,60000,5yr
2020,"Mariposa County, California",0500000US06043,50960,5yr
2018,"Del Norte County, California",0500000US06015,45258,5yr
2020,"Inyo County, California",0500000US06027,59296,5yr
2017,"Calaveras County, California",0500000US06009,54800,5yr
2017,"Colusa County, California",0500000US06011,56481,5yr
2017,"Del Norte County, California",0500000US06015,41287,5yr
2017,"Glenn County, California",0500000US06021,46260,5yr
2017,"Inyo County, California",0500000US06027,51500,5yr
2017,"Lassen County, California",0500000US06035,54083,5yr
2017,"Mariposa County, California",0500000US06043,51385,5yr
2017,"Amador County, California",0500000US06005,60636,5yr
2017,"Modoc County, California",0500000US06049,39296,5yr
2017,"Plumas County, California",0500000US06063,50266,5yr
2017,"San Benito County, California",0500000US06069,80760,5yr
2017,"Sierra County, California",0500000US06091,44190,5yr
2017,"Siskiyou County, California",0500000US06093,40884,5yr
2017,"Tehama County, California",0500000US06103,42512,5yr
2017,"Trinity County, California",0500000US06105,36563,5yr
2017,"Tuolumne County, California",0500000US06109,54325,5yr
2017,"Mono County, California",0500000US06051,60595,5yr
2017,"Alpine County, California",0500000US06003,63438,5yr
2016,"Tuolumne County, California",0500000US06109,50731,5yr
2016,"Trinity County, California",0500000US06105,35270,5yr
2024,"Trinity County, California",0500000US06105,53002,5yr
2016,"Alpine County, California",0500000US06003,62375,5yr
2016,"Amador County, California",0500000US06005,57032,5yr
2016,"Calaveras County, California",0500000US06009,53502,5yr
2016,"Colusa County, California",0500000US06011,54946,5yr
2016,"Del Norte County, California",0500000US06015,42363,5yr
2016,"Glenn County, California",0500000US06021,41699,5yr
2016,"Inyo County, California",0500000US06027,47278,5yr
2016,"Lassen County, California",0500000US06035,51457,5yr
2016,"Mariposa County, California",0500000US06043,49265,5yr
2016,"Modoc County, California",0500000US06049,41194,5yr
2016,"Mono County, California",0500000US06051,58937,5yr
2016,"Plumas County, California",0500000US06063,50125,5yr
2016,"San Benito County, California",0500000US06069,73814,5yr
2016,"Sierra County, California",0500000US06091,43984,5yr
2016,"Siskiyou County, California",0500000US06093,38524,5yr
2016,"Tehama County, California",0500000US06103,40687,5yr
2018,"Alpine County, California",0500000US06003,64688,5yr
2020,"Lassen County, California",0500000US06035,56971,5yr
2018,"Amador County, California",0500000US06005,61198,5yr
2018,"Colusa County, California",0500000US06011,56704,5yr
2019,"Mariposa County, California",0500000US06043,48820,5yr
2019,"Modoc County, California",0500000US06049,45507,5yr
2019,"Mono County, California",0500000US06051,62260,5yr
2019,"Plumas County, California",0500000US06063,55359,5yr
2019,"San Benito County, California",0500000US06069,86958,5yr
2019,"Sierra County, California",0500000US06091,52148,5yr
2019,"Siskiyou County, California",0500000US06093,45241,5yr
2019,"Lassen County, California",0500000US06035,56352,5yr
2019,"Tuolumne County, California",0500000US06109,60108,5yr
2020,"Alpine County, California",0500000US06003,85750,5yr
2020,"Amador County, California",0500000US06005,65187,5yr
2020,"Calaveras County, California",0500000US06009,67054,5yr
2020,"Colusa County, California",0500000US06011,59427,5yr
2020,"Del Norte County, California",0500000US06015,49981,5yr
2020,"Glenn County, California",0500000US06021,51682,5yr
2019,"Trinity County, California",0500000US06105,40846,5yr
2019,"Inyo County, California",0500000US06027,57316,5yr
2019,"Glenn County, California",0500000US06021,49633,5yr
2019,"Del Norte County, California",0500000US06015,45283,5yr
2018,"Glenn County, California",0500000US06021,47395,5yr
2018,"Inyo County, California",0500000US06027,52874,5yr
2018,"Lassen County, California",0500000US06035,56362,5yr
2018,"Mariposa County, California",0500000US06043,51199,5yr
2018,"Modoc County, California",0500000US06049,45149,5yr
2018,"Mono County, California",0500000US06051,63018,5yr
2018,"Plumas County, California",0500000US06063,53270,5yr
2018,"San Benito County, California",0500000US06069,81977,5yr
2018,"Sierra County, California",0500000US06091,48125,5yr
2018,"Siskiyou County, California",0500000US06093,44200,5yr
2018,"Tehama County, California",0500000US06103,42899,5yr
2018,"Trinity County, California",0500000US06105,38497,5yr
2018,"Tuolumne County, California",0500000US06109,56493,5yr
2019,"Alpine County, California",0500000US06003,63750,5yr
2019,"Amador County, California",0500000US06005,62772,5yr
2019,"Calaveras County, California",0500000US06009,63158,5yr
2019,"Colusa County, California",0500000US06011,59401,5yr
2018,"Calaveras County, California",0500000US06009,58151,5yr
2024,"Tuolumne County, California",0500000US06109,77404,5yr
